Holding Period,Strategy 1 Return (%),Strategy 1 Sharpe,Strategy 2 Return (%),Strategy 2 Sharpe
1,871.7955992078158,4.617732596997067,29.276883871173332,2.477689654988212
2,520.5441496160006,3.100151867907172,21.494256830465286,1.5674594188946858
3,562.4892607946653,3.285318219015725,42.1952716237556,2.2997129445795848
4,650.591958384868,3.0005285885621507,15.698232211161312,1.1235922105189438
5,440.8802157603999,2.466262155132323,32.56888173355294,1.8421420868433047
6,380.76709877869,2.2605320862534986,27.93956490676073,1.4310237622855648
7,149.03280228411893,1.5191154417767825,46.12988825736801,1.859034738247929
8,77.80322203319119,1.1829455139844178,29.8779607460369,1.4392138649072694
9,20.82490383483899,0.7758733350140388,40.87370467274689,1.8007737232178824
10,-12.448562818831178,0.49214010331962676,39.49644397790573,1.7814961091749355
11,-49.015881570256695,-0.029798877119463225,5.549259621016911,0.8018073963862473
12,-41.46301480419257,0.10791904552209376,-2.6581457570956757,0.521801950559432
13,-31.412937450715894,0.3282326252139665,9.842019638048738,0.9012758480122908
14,66.67426357997526,1.1661999475509077,24.42807449719535,1.2820065732200503
15,26.211249014013905,0.98570187461163,-25.179908195514667,-0.45087094531584415
16,104.37308538234183,1.334836032902182,117.75182531735399,2.755369169852288
17,108.9847695332823,1.328671339171223,92.07110135075077,2.4432748020904596
18,330.5047479556977,1.8662648503268213,85.12708845459794,2.189652972815963
19,51.56146379624358,1.1059825125565566,52.44654907709756,1.647780356823946
20,23.99839002064339,0.9353890744179146,56.91249861165455,1.607019370166886
21,9.053260524647566,0.8286735472205057,48.85949715453928,1.4288142236031096
22,82.25817967408437,1.2476460674340888,40.445852617928104,1.2920989219051369
