Holding Period,Strategy 1 Return (%),Strategy 1 Sharpe,Strategy 2 Return (%),Strategy 2 Sharpe
1,71.9888324442037,2.526504198773353,13.75239299756199,1.6098390478357067
2,50.702818591900225,1.6372995887237252,1.9124640906303725,0.31612851496019717
3,-18.060591399118163,-0.3008861744308393,-18.47235850249167,-1.9422337697953556
4,37.49665630225234,1.0130014099319735,16.34778662012153,1.4060858667071083
5,-6.243516976326613,0.05854279621126799,4.208947001386276,0.36195213775633767
6,252.19418275946344,3.2806078904026963,-4.727401032742485,0.20096915054753386
7,-38.14298682490189,-1.0788425701072821,4.71396308367813,0.644985784364214
8,-43.212204584518254,-1.0468022134624841,11.346190220858432,1.2100735124755122
9,-20.146055079713886,0.16464579195201356,-30.322060639310255,-2.2400312604155763
10,-7.581099891874754,0.21486224559614628,46.16203219434032,2.589935048793767
11,-43.10143963855361,-1.0929614108252341,-8.740319992474488,-0.34545269082401026
12,24.28325696886271,1.5453807331173401,-29.409032493370013,-1.6543076197790212
13,31.10440904735816,1.2252712217526158,62.01966553855096,3.0969898702886844
14,31.421975339226815,1.6800543436762896,20.565837822300903,1.3221898775253742
15,-45.670724506065994,-0.7792792528006979,25.367581905535875,1.7631847342454898
16,-53.03509342517785,-3.66483594384143,3.4477621151969062,0.6561762393484725
17,295.5138950644463,13.118650291057856,-12.63245537293316,-41.64844903595147
18,-21.623726841960412,-1.0277242069418848,-9.767199774181412,4.081613674628959
19,74.82060861138417,7.963434256647293,0.37602838923023185,
20,96.45537975079147,4.856440700471429,-8.386248133895368,-2.758608558431397
21,74.20554416094944,4.385077000989229,-6.291925865902481,1.420884264964174
22,-48.039728268140344,-2.017308055525151,-19.09812117866171,-11.505546604095539
