Holding Period,Strategy 1 Return (%),Strategy 1 Sharpe,Strategy 2 Return (%),Strategy 2 Sharpe
1,942.2351025298033,4.623764359665707,27.73811848462513,2.055230708646909
2,520.5447638840534,3.009393194864512,22.95144444318371,1.504464835876667
3,562.4897618080689,3.126578691031978,42.18599375712064,1.9514336756396875
4,650.5925308742687,2.945895919690678,11.339358725378922,0.8809394147574047
5,421.86003395481606,2.3767175089750756,29.453204666913322,1.5739103906643355
6,316.98268753703803,2.052940713769672,17.914916276249883,1.0480246172048129
7,149.0341176297793,1.5131047913127855,43.66524397262121,1.6497143359490887
8,77.78716760436974,1.1813559548427337,29.750905505169456,1.3324026964538274
9,20.82498082180324,0.7975098149787212,37.82284772313626,1.5855939006884896
10,-26.570873689141973,0.3702031825406701,30.1872580498324,1.3888294734968445
11,-49.01574389503699,0.008638338237135466,4.5600329283281615,0.7866240608363044
12,-42.71891173810207,0.0828479349942938,-7.0894854764314115,0.4163339822600357
13,-31.412940127473576,0.36812394726013636,5.129613055494353,0.7917727084848571
14,80.19610290359027,1.239147025228182,19.200062830857423,1.1296605577442131
15,99.89716975149922,1.328946075490559,31.454724942799594,1.3294033686547115
16,104.37225968632728,1.3408778210312895,97.68185828388127,2.2387026838313684
17,108.22088712885459,1.3334109890120789,73.41494032731899,1.9340690184053977
18,330.50370325322984,1.8647554216755158,69.87165423377337,1.7895229336286815
19,66.51663523699958,1.202754671470913,29.528160467053645,1.2307004178124579
20,23.99805988329875,0.960586634977185,47.1958953232916,1.382056733397295
21,9.053479610905569,0.8602139455629471,36.45012626229671,1.2113406049329223
22,190.07457546453344,1.590007277650008,27.18483561202767,1.1015941937166043
