Announcement_Date,Effective_Date,Added_Ticker,Added_Security,Removed_Ticker,Removed_Security,Reason
2025-07-18,2025-07-23,XYZ,"Block, Inc.",HES,Hess Corporation,S&P 500 and S&P 100 constituent Chevron Corp. acquired Hess Corp.
2025-07-14,2025-07-18,TTD,Trade Desk (The),ANSS,Ansys,S&P 500 constituent Synopsys Inc. acquired Ansys.
2025-07-02,2025-07-09,DDOG,Datadog,JNPR,Juniper Networks,S&P 500 constituent Hewlett Packard Enterprise Co. acquired Juniper Networks.
2025-05-12,2025-05-19,COIN,Coinbase,DFS,Discover Financial,S&P 500 constituent Capital One Financial Corp. acquired Discover Financial Services.
2025-03-07,2025-03-24,DASH,DoorDash,BWA,BorgWarner,Market capitalization change.
2025-03-07,2025-03-24,TKO,TKO Group Holdings,TFX,Teleflex,Market capitalization change.
2025-03-07,2025-03-24,WSM,"Williams-Sonoma, Inc.",CE,Celanese,Market capitalization change.
2025-03-07,2025-03-24,EXE,Expand Energy,FMC,FMC Corporation,Market capitalization change.
2024-12-18,2024-12-23,LII,Lennox International,CTLT,Catalent,Novo Holdings A/Sacquired Catalent.
2024-12-06,2024-12-23,APO,Apollo Global Management,QRVO,Qorvo,Market capitalization change.
2024-12-06,2024-12-23,WDAY,"Workday, Inc.",AMTM,Amentum,Market capitalization change.
2024-11-21,2024-11-26,TPL,Texas Pacific Land Corporation,MRO,Marathon Oil,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.
2024-09-24,2024-10-01,,,BBWI,"Bath & Body Works, Inc.",Market capitalization change.
2024-09-24,2024-09-30,AMTM,Amentum,,,"S&P 500 constituentJacobs Solutionsspun off its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings."
2024-09-06,2024-09-23,PLTR,Palantir Technologies,AAL,American Airlines Group,Market capitalization change.
2024-09-06,2024-09-23,DELL,Dell Technologies,ETSY,Etsy,Market capitalization change.
2024-09-06,2024-09-23,ERIE,Erie Indemnity,BIO,Bio-Rad Laboratories,Market capitalization change.
2024-06-07,2024-06-24,KKR,KKR,RHI,Robert Half,Market capitalization change.
2024-06-07,2024-06-24,CRWD,CrowdStrike,CMA,Comerica,Market capitalization change.
2024-06-07,2024-06-24,GDDY,GoDaddy,ILMN,"Illumina, Inc.",Market capitalization change.
2024-05-03,2024-05-08,VST,Vistra,PXD,Pioneer Natural Resources,S&P 500 and S&P 100 constituentExxonMobilacquired Pioneer Natural Resources.
2024-03-27,2024-04-03,,,XRAY,Dentsply Sirona,Market capitalization change.
2024-03-27,2024-04-03,,,VFC,VF Corporation,Market capitalization change.
2024-03-27,2024-04-02,GEV,GE Vernova,,,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.
2024-03-27,2024-04-01,SOLV,Solventum,,,S&P 500 and 100 constituent 3M Co. spun off Solventum.
2024-03-01,2024-03-18,SMCI,Supermicro,WHR,Whirlpool Corporation,Market capitalization change.
2024-03-01,2024-03-18,DECK,Deckers Brands,ZION,Zions Bancorporation,Market capitalization change.
2023-12-01,2023-12-18,UBER,Uber,SEE,Sealed Air,Market capitalization change.
2023-12-01,2023-12-18,JBL,Jabil,ALK,Alaska Air Group,Market capitalization change.
2023-12-01,2023-12-18,BLDR,Builders FirstSource,SEDG,SolarEdge,Market capitalization change.
2023-10-13,2023-10-18,HUBB,Hubbell,OGN,Organon & Co.,Market capitalization change.
2023-10-13,2023-10-18,LULU,Lululemon Athletica,ATVI,Activision Blizzard,S&P 500 and S&P 100 constituentMicrosoft acquired Activision Blizzard.
2023-09-28,2023-10-03,,,DXC,DXC Technology,Market capitalization change.
2023-09-28,2023-10-02,VLTO,Veralto,,,S&P 500 and S&P 100 constituent Danaher Corporation spun off Veralto.
2023-09-14,2023-09-18,BX,Blackstone,LNC,Lincoln National Corporation,Market capitalization change.
2023-09-14,2023-09-18,ABNB,Airbnb,NWL,Newell Brands,Market capitalization change.
2023-08-21,2023-08-25,KVUE,Kenvue,AAP,Advance Auto Parts,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.
2023-06-02,2023-06-20,PANW,Palo Alto Networks,DISH,Dish Network,Market capitalization change.
2023-05-01,2023-05-04,AXON,Axon Enterprise,FRC,First Republic Bank,TheFederal Deposit Insurance Corporation(FDIC) placed First Republic Bank into FDIC Receivership.
2023-03-03,2023-03-20,FICO,Fair Isaac,LUMN,Lumen Technologies,Market capitalization change.
2023-03-13,2023-03-15,BG,Bunge Global,SBNY,Signature Bank,The FDIC placed Signature Bank into FDIC Receivership.
